[2020-02-24 00:28:13,687] [DEBUG   ] [released_date: 2 Dec, 2009]
[2020-02-24 00:28:13,828] [DEBUG   ] [released_date: 14 Sep, 2015]
[2020-02-24 00:28:14,243] [DEBUG   ] [released_date: 5 May, 2017]
[2020-02-24 00:28:14,405] [DEBUG   ] [released_date: 21 Dec, 2017]
[2020-02-24 00:28:15,000] [DEBUG   ] [released_date: 27 Jul, 2017]
[2020-02-24 00:28:15,575] [DEBUG   ] [released_date: 12 May, 2017]
[2020-02-24 00:28:15,618] [DEBUG   ] [released_date: 12 Aug, 2019]
[2020-02-24 00:28:16,448] [DEBUG   ] [released_date: 16 Jun, 2016]
[2020-02-24 00:28:16,458] [DEBUG   ] [released_date: 13 Jun, 2013]
[2020-02-24 00:28:16,643] [DEBUG   ] [released_date: 1 Feb, 2020]
[2020-02-24 00:28:17,528] [DEBUG   ] [released_date: 19 Sep, 2017]
[2020-02-24 00:28:18,273] [DEBUG   ] [released_date: 10 Feb, 2017]
[2020-02-24 00:28:18,429] [DEBUG   ] [released_date: 20 Oct, 2016]
[2020-02-24 00:28:18,569] [DEBUG   ] [released_date: 2 Feb, 2016]
[2020-02-24 00:28:19,031] [DEBUG   ] [released_date: 22 Apr, 2019]
[2020-02-24 00:28:19,762] [DEBUG   ] [released_date: 1 Aug, 2017]
[2020-02-24 00:28:20,375] [DEBUG   ] [released_date: 12 Nov, 2019]
[2020-02-24 00:28:21,008] [DEBUG   ] [released_date: 24 Feb, 2017]
[2020-02-24 00:28:21,525] [DEBUG   ] [released_date: 22 Feb, 2018]
[2020-02-24 00:28:21,569] [DEBUG   ] [released_date: 9 Mar, 2016]
[2020-02-24 00:28:21,975] [DEBUG   ] [released_date: 19 Dec, 2016]
[2020-02-24 00:28:22,960] [DEBUG   ] [released_date: 27 Aug, 2014]
[2020-02-24 00:28:25,538] [DEBUG   ] [released_date: 4 Jun, 2015]
[2020-02-24 00:28:27,949] [DEBUG   ] [released_date: 13 Jun, 2016]
[2020-02-24 00:28:28,222] [DEBUG   ] [released_date: 16 Oct, 2018]
[2020-02-24 00:28:28,706] [DEBUG   ] [released_date: 31 Mar, 2016]
[2020-02-24 00:28:29,054] [DEBUG   ] [released_date: 22 Sep, 2014]
[2020-02-24 00:28:31,356] [DEBUG   ] [released_date: 14 Apr, 2016]
